p7-cN-r1,TRUE,5
p6-cN-r1,TRUE,5
p5-cN-r1,TRUE,5
p4-cN-r1,TRUE,5
p3-cN-r1,TRUE,5
p2-cN-r1,TRUE,5
p1-cN-r1,FALSE,
p7-c7-r1,TRUE,10
p6-c7-r1,TRUE,10
p5-c7-r1,TRUE,10
p4-c7-r1,TRUE,10
p3-c7-r1,FALSE,
p2-c7-r1,FALSE,
p1-c7-r1,FALSE,
p7-c9-r1,TRUE,5
p6-c9-r1,TRUE,5
p5-c9-r1,TRUE,5
p4-c9-r1,TRUE,5
p3-c9-r1,TRUE,5
p2-c9-r1,FALSE,
p1-c9-r1,FALSE,
p7-c11-r1,TRUE,5
p6-c11-r1,TRUE,5
p5-c11-r1,TRUE,5
p4-c11-r1,TRUE,5
p3-c11-r1,TRUE,5
p2-c11-r1,TRUE,5
p1-c11-r1,FALSE,
p7-cN-r2,TRUE,5
p6-cN-r2,TRUE,5
p5-cN-r2,TRUE,5
p4-cN-r2,TRUE,5
p3-cN-r2,TRUE,10
p2-cN-r2,TRUE,10
p1-cN-r2,FALSE,
p7-c7-r2,TRUE,5
p6-c7-r2,TRUE,5
p5-c7-r2,TRUE,10
p4-c7-r2,TRUE,10
p3-c7-r2,FALSE,
p2-c7-r2,FALSE,
p1-c7-r2,FALSE,
p7-c9-r2,TRUE,5
p6-c9-r2,TRUE,5
p5-c9-r2,TRUE,5
p4-c9-r2,TRUE,5
p3-c9-r2,TRUE,10
p2-c9-r2,FALSE,
p1-c9-r2,FALSE,
p7-c11-r2,TRUE,5
p6-c11-r2,TRUE,5
p5-c11-r2,TRUE,5
p4-c11-r2,TRUE,5
p3-c11-r2,TRUE,10
p2-c11-r2,FALSE,
p1-c11-r2,FALSE,
p7-cN-r3,TRUE,5
p6-cN-r3,TRUE,5
p5-cN-r3,TRUE,5
p4-cN-r3,TRUE,5
p3-cN-r3,TRUE,5
p2-cN-r3,TRUE,10
p1-cN-r3,FALSE,
p7-c7-r3,TRUE,5
p6-c7-r3,TRUE,5
p5-c7-r3,TRUE,10
p4-c7-r3,TRUE,10
p3-c7-r3,FALSE,
p2-c7-r3,FALSE,
p1-c7-r3,FALSE,
p7-c9-r3,TRUE,5
p6-c9-r3,TRUE,5
p5-c9-r3,TRUE,5
p4-c9-r3,TRUE,5
p3-c9-r3,TRUE,10
p2-c9-r3,FALSE,
p1-c9-r3,FALSE,
p7-c11-r3,TRUE,5
p6-c11-r3,TRUE,5
p5-c11-r3,TRUE,5
p4-c11-r3,TRUE,5
p3-c11-r3,TRUE,5
p2-c11-r3,TRUE,10
p1-c11-r3,FALSE,
