p7-cN-r1,p7-c7-r1,p7-c9-r1,p7-c11-r1,p7-cN-r2,p7-c7-r2,p7-c9-r2,p7-c11-r2,p7-cN-r3,p7-c7-r3,p7-c9-r3,p7-c11-r3
p6-cN-r1,p6-c7-r1,p6-c9-r1,p6-c11-r1,p6-cN-r2,p6-c7-r2,p6-c9-r2,p6-c11-r2,p6-cN-r3,p6-c7-r3,p6-c9-r3,p6-c11-r3
p5-cN-r1,p5-c7-r1,p5-c9-r1,p5-c11-r1,p5-cN-r2,p5-c7-r2,p5-c9-r2,p5-c11-r2,p5-cN-r3,p5-c7-r3,p5-c9-r3,p5-c11-r3
p4-cN-r1,p4-c7-r1,p4-c9-r1,p4-c11-r1,p4-cN-r2,p4-c7-r2,p4-c9-r2,p4-c11-r2,p4-cN-r3,p4-c7-r3,p4-c9-r3,p4-c11-r3
p3-cN-r1,p3-c7-r1,p3-c9-r1,p3-c11-r1,p3-cN-r2,p3-c7-r2,p3-c9-r2,p3-c11-r2,p3-cN-r3,p3-c7-r3,p3-c9-r3,p3-c11-r3
p2-cN-r1,p2-c7-r1,p2-c9-r1,p2-c11-r1,p2-cN-r2,p2-c7-r2,p2-c9-r2,p2-c11-r2,p2-cN-r3,p2-c7-r3,p2-c9-r3,p2-c11-r3
p1-cN-r1,p1-c7-r1,p1-c9-r1,p1-c11-r1,p1-cN-r2,p1-c7-r2,p1-c9-r2,p1-c11-r2,p1-cN-r3,p1-c7-r3,p1-c9-r3,p1-c11-r3
?1,?2,?3,?4,LB-r1,LB-r2,LB-r3,LB-r4,p-LB-r1,p-LB-r2,p-LB-r3,p-LB-r4
